Period,Longitude,Latitude,Date,Time,Location,Site,Status,Depth,Observer,Successful.count
npz6.34,113.549,-28.0563,20210511,10:39:57,NPZ6,npz6.34,No-take,49.1,Claude,Y
npz6.19,113.5314,-28.0463,20210511,10:55:30,NPZ6,npz6.19,No-take,48.1,Claude,Y
npz6.36,113.4739,-28.0765,20210511,11:22:14,NPZ6,npz6.36,No-take,52.9,Claude,Y
npz6.5,113.4763,-28.0839,20210511,11:32:29,NPZ6,npz6.5,No-take,53.2,Claude,Y
npz6.37,113.4639,-28.0964,20210511,11:46:02,NPZ6,npz6.37,No-take,39.2,Claude,Y
npz6.14,113.4589,-28.0912,20210511,11:56:15,NPZ6,npz6.14,No-take,25.5,Claude,Y
npz6.33,113.4437,-28.0887,20210511,12:10:09,NPZ6,npz6.33,No-take,28,Claude,Y
npz6.29,113.4589,-28.0837,20210511,12:23:21,NPZ6,npz6.29,No-take,43.1,Claude,Y
npz6.11,113.4539,-28.0761,20210511,12:34:24,NPZ6,npz6.11,No-take,34,Claude,Y
npz6.13,113.4489,-28.0537,20210511,12:50:37,NPZ6,npz6.13,No-take,57,Claude,Y
npz6.26,113.4414,-28.0487,20210511,13:01:18,NPZ6,npz6.26,No-take,42,Claude,Y
npz6.20,113.4413,-28.0462,20210511,13:09:55,NPZ6,npz6.20,No-take,51,Claude,Y
npz6.6,113.4213,-28.0362,20210511,13:26:30,NPZ6,npz6.6,No-take,66.6,Claude,Y
npz6.17,113.3939,-28.0587,20210511,13:45:12,NPZ6,npz6.17,No-take,65.7,Claude,Y
npz6.21,113.4014,-28.0737,20210511,13:59:39,NPZ6,npz6.21,No-take,57.4,Claude,Y
npz6.31,113.3938,-28.0711,20210511,14:11:16,NPZ6,npz6.31,No-take,81.9,Claude,Y
npz6.7,113.3812,-28.0687,20210511,14:23:16,NPZ6,npz6.7,No-take,89.5,Claude,Y
npz6.15,113.3788,-28.0712,20210511,14:33:06,NPZ6,npz6.15,No-take,92,Claude,Y
npz6.25,113.3815,-28.0362,20210511,14:53:40,NPZ6,npz6.25,No-take,70.6,Claude,Y
npz6.1,113.3761,-28.0459,20210511,15:06:51,NPZ6,npz6.1,No-take,90.9,Claude,Y
npz6.9,113.3687,-28.0486,20210511,15:19:08,NPZ6,npz6.9,No-take,101,Claude,Y
npz6.16,113.3588,-28.0411,20210511,15:33:16,NPZ6,npz6.16,No-take,123,Claude,Y
npz6.23,113.3362,-28.041,20210511,15:50:26,NPZ6,npz6.23,No-take,151,Claude,Y
npz6.12,113.3238,-28.0486,20210511,16:04:48,NPZ6,npz6.12,No-take,159,Claude,Y
npz6.18,113.5038,-28.0837,20210513,11:02:11,NPZ6,npz6.18,No-take,50,Claude,Y
npz6.47,113.4816,-28.1185,20210513,11:24:51,NPZ6,out6.10,Fished,44,Claude,Y
npz6.49,113.4764,-28.1139,20210513,11:34:57,NPZ6,out6.12,Fished,49.6,Claude,Y
npz6.38,113.4591,-28.1187,20210513,11:49:00,NPZ6,out6.1,Fished,27.8,Claude,Y
npz6.39,113.4539,-28.1139,20210513,11:59:54,NPZ6,out6.2,Fished,36.3,Claude,Y
npz6.40,113.4337,-28.1038,20210513,12:14:36,NPZ6,out6.3,Fished,48.7,Claude,Y
npz6.28,113.429,-28.0937,20210513,12:27:11,NPZ6,npz6.28,No-take,47.3,Claude,Y
npz6.43,113.4111,-28.1064,20210513,12:45:00,NPZ6,out6.6,Fished,56.2,Claude,Y
npz6.8,113.4012,-28.0888,20210513,13:01:30,NPZ6,npz6.8,No-take,73.6,Claude,Y
npz6.30,113.3989,-28.0912,20210513,13:12:16,NPZ6,npz6.30,No-take,87.9,Claude,Y
npz6.2,113.3863,-28.0862,20210513,13:26:50,NPZ6,npz6.2,No-take,92,Claude,Y
npz6.3,113.3864,-28.0914,20210513,13:38:45,NPZ6,npz6.3,No-take,95.2,Claude,Y
npz6.32,113.3837,-28.0963,20210513,13:52:51,NPZ6,npz6.32,No-take,116,Claude,Y
npz6.10,113.3498,-28.0798,20210513,14:17:39,NPZ6,npz6.10,No-take,151,Claude,Y
npz6.35,113.2744,-28.0417,20210513,15:22:35,NPZ6,npz6.35,No-take,184,Claude,Y
npz6.27,113.2892,-28.0688,20210513,15:55:35,NPZ6,npz6.27,No-take,186,Claude,Y
npz6.4,113.2764,-28.0769,20210513,15:48:54,NPZ6,npz6.4,No-take,189,Claude,Y
npz9.24,113.2072,-27.1612,20210514,9:29:23,NPZ9,npz9.24,No-take,82.1,Claude,Y
npz9.48,113.2013,-27.1527,20210514,9:43:21,NPZ9,npz9.48,No-take,84.5,Claude,Y
npz9.46,113.1916,-27.149,20210514,9:56:50,NPZ9,np79.46,No-take,83.8,Claude,Y
npz9.19,113.2129,-27.1465,20210514,10:15:01,NPZ9,npz9.19,No-take,87,Claude,Y
npz9.50,113.2016,-27.1444,20210514,10:29:15,NPZ9,npz9.50,No-take,91.5,Claude,Y
npz9.47,113.1916,-27.1397,20210514,10:43:23,NPZ9,npz9.47,No-take,83.2,Claude,Y
npz9.49,113.1883,-27.1297,20210514,10:57:37,NPZ9,npz9.49,No-take,81.5,Claude,Y
npz9.45,113.1821,-27.1341,20210514,11:09:30,NPZ9,npz9.45,No-take,82.5,Claude,Y
npz9.43,113.1779,-27.1363,20210514,11:20:59,NPZ9,npz9.43,No-take,82.7,Claude,Y
npz9.5,113.1603,-27.1519,20210514,11:38:52,NPZ9,npz9.5,No-take,85.9,Claude,Y
npz9.14,113.1421,-27.1561,20210514,11:55:54,NPZ9,npz9.14,No-take,103,Claude,Y
npz9.7,113.136,-27.1463,20210514,12:10:39,NPZ9,npz9.7,No-take,103,Claude,Y
npz9.16,113.1278,-27.134,20210514,12:27:16,NPZ9,npz9.16,No-take,102,Claude,Y
npz9.8,113.1204,-27.1354,20210514,12:41:29,NPZ9,npz9.8,No-take,108,Claude,Y
npz9.26,113.122,-27.1256,20210514,12:55:13,NPZ9,npz9.26,No-take,103,Claude,Y
npz9.27,113.1335,-27.1253,20210514,13:08:55,NPZ9,npz9.27,No-take,93.7,Claude,Y
npz9.13,113.1497,-27.1268,20210514,13:24:19,NPZ9,npz9.13,No-take,88.7,Claude,Y
npz9.41,113.1699,-27.1233,20210514,13:40:49,NPZ9,npz9.41,No-take,85.5,Claude,Y
npz9.44,113.1729,-27.1188,20210514,13:53:11,NPZ9,npz9.44,No-take,85.2,Claude,Y
npz9.22,113.1862,-27.1211,20210514,14:07:20,NPZ9,npz9.22,No-take,85.7,Claude,Y
npz9.6,113.1905,-27.1197,20210514,14:18:47,NPZ9,npz9.6,No-take,90.4,Claude,Y
npz9.4,113.172,-27.1088,20210514,14:37:37,NPZ9,npz9.4,No-take,85.1,Claude,Y
npz9.9,113.1518,-27.1023,20210514,14:55:14,NPZ9,npz9.9,No-take,87.8,Claude,Y
npz9.42,113.15,-27.0979,20210514,15:06:31,NPZ9,npz9.42,No-take,87.6,Claude,Y
npz9.17,113.1122,-27.101,20210514,15:28:45,NPZ9,npz9.17,No-take,95.4,Claude,Y
npz9.25,113.1066,-27.1036,20210514,15:44:35,NPZ9,npz9.25,No-take,103,Claude,Y
npz9.1,113.1022,-27.0953,20210514,16:00:30,NPZ9,npz9.1,No-take,102,Claude,Y
npz9.23,113.0833,-27.098,20210514,16:22:37,NPZ9,npz9.23,No-take,119,Claude,Y
npz9.21,113.077,-27.1128,20210514,16:40:35,NPZ9,npz9.21,No-take,127,Claude,Y
