"sample","latitude","longitude","date","site","location","successful.count","broad.ascidians","broad.bryozoa","broad.consolidated","broad.hydroids","broad.invertebrate.complex","broad.macroalgae","broad.octocoral.black","broad.sponges","broad.unconsolidated","total.points.annotated","mean.relief","sd.relief"
"npz6.34",-28.0563,113.549,20210511,"npz6.34","NPZ6","Y",0,0,1,0,0,8,0,41,27,77,1.73846153846154,0.44289258986107
"npz6.19",-28.0463,113.5314,20210511,"npz6.19","NPZ6","Y",1,0,23,0,0,26,1,12,16,79,2.03125,0.25
"npz6.36",-28.0765,113.4739,20210511,"npz6.36","NPZ6","Y",0,0,15,0,0,1,0,0,63,79,0.596774193548387,0.494549883752722
"npz6.5",-28.0839,113.4763,20210511,"npz6.5","NPZ6","Y",0,0,5,0,0,12,0,5,57,79,1.20289855072464,0.530807103129906
"npz6.37",-28.0964,113.4639,20210511,"npz6.37","NPZ6","Y",0,0,22,0,0,26,0,0,20,68,1.95384615384615,0.21145103088313
"npz6.14",-28.0912,113.4589,20210511,"npz6.14","NPZ6","Y",0,0,17,0,0,58,0,0,1,76,2.92424242424242,0.364189555910151
"npz6.33",-28.0887,113.4437,20210511,"npz6.33","NPZ6","Y",0,0,0,0,0,79,0,0,0,79,3,0
"npz6.29",-28.0837,113.4589,20210511,"npz6.29","NPZ6","Y",0,0,5,0,0,7,0,0,68,80,0.923076923076923,0.268543077764787
"npz6.11",-28.0761,113.4539,20210511,"npz6.11","NPZ6","Y",0,0,8,0,0,61,0,0,4,73,2.6865671641791,0.467389760908861
"npz6.13",-28.0537,113.4489,20210511,"npz6.13","NPZ6","Y",0,0,77,0,0,0,0,0,3,80,1,0
"npz6.26",-28.0487,113.4414,20210511,"npz6.26","NPZ6","Y",0,0,0,0,0,69,0,10,1,80,3,0
"npz6.20",-28.0462,113.4413,20210511,"npz6.20","NPZ6","Y",0,0,61,0,0,7,0,11,0,79,2.23188405797101,1.2144343579993
"npz6.6",-28.0362,113.4213,20210511,"npz6.6","NPZ6","Y",0,0,0,0,0,0,0,0,80,80,1,0
"npz6.17",-28.0587,113.3939,20210511,"npz6.17","NPZ6","Y",0,0,28,1,4,0,0,34,4,71,1.484375,0.534290435850456
"npz6.21",-28.0737,113.4014,20210511,"npz6.21","NPZ6","Y",0,0,5,0,0,1,0,0,64,70,0.893939393939394,0.682276458263925
"npz6.31",-28.0711,113.3938,20210511,"npz6.31","NPZ6","Y",0,0,56,0,0,0,0,0,24,80,1,0
"npz6.7",-28.0687,113.3812,20210511,"npz6.7","NPZ6","Y",0,0,0,0,0,0,0,0,80,80,0.6,0.527224906178488
"npz6.15",-28.0712,113.3788,20210511,"npz6.15","NPZ6","Y",0,1,24,0,12,0,2,12,24,75,1.79411764705882,0.659235729573739
"npz6.25",-28.0362,113.3815,20210511,"npz6.25","NPZ6","Y",0,0,48,0,1,0,0,6,16,71,1.30508474576271,0.676049306713737
"npz6.1",-28.0459,113.3761,20210511,"npz6.1","NPZ6","Y",0,0,22,0,5,0,0,8,40,75,1.52380952380952,0.644008186111638
"npz6.9",-28.0486,113.3687,20210511,"npz6.9","NPZ6","Y",0,0,0,0,3,0,1,1,74,79,0.88,0.520596204522531
"npz6.16",-28.0411,113.3588,20210511,"npz6.16","NPZ6","Y",0,0,0,0,0,0,0,0,80,80,0,0
"npz6.23",-28.041,113.3362,20210511,"npz6.23","NPZ6","Y",0,0,0,0,0,0,0,0,77,77,0.0444444444444444,0.208409077139993
"npz6.12",-28.0486,113.3238,20210511,"npz6.12","NPZ6","Y",0,0,0,0,0,0,0,0,80,80,0,0
"npz6.18",-28.0837,113.5038,20210513,"npz6.18","NPZ6","Y",0,1,34,0,3,3,0,25,12,78,2,0.563436169819011
"npz6.47",-28.1185,113.4816,20210513,"out6.10","NPZ6","Y",0,0,35,0,0,7,0,6,32,80,1.23333333333333,0.499717434280908
"npz6.49",-28.1139,113.4764,20210513,"out6.12","NPZ6","Y",0,0,8,0,0,52,0,2,16,78,2.10169491525424,0.304841126187198
"npz6.38",-28.1187,113.4591,20210513,"out6.1","NPZ6","Y",0,0,3,0,0,76,0,0,1,80,3,0
"npz6.39",-28.1139,113.4539,20210513,"out6.2","NPZ6","Y",0,0,1,0,0,58,0,1,5,65,2.96774193548387,0.178127043949975
"npz6.40",-28.1038,113.4337,20210513,"out6.3","NPZ6","Y",0,0,30,0,0,44,0,4,1,79,2.01612903225806,0.127000127000191
"npz6.28",-28.0937,113.429,20210513,"npz6.28","NPZ6","Y",0,0,68,0,0,10,0,0,1,79,1.11666666666667,0.323731771513093
"npz6.43",-28.1064,113.4111,20210513,"out6.6","NPZ6","Y",0,0,54,0,0,4,0,3,19,80,1.71621621621622,0.80273966284766
"npz6.8",-28.0888,113.4012,20210513,"npz6.8","NPZ6","Y",0,0,49,0,0,1,0,3,27,80,1.63380281690141,1.05883273493191
"npz6.30",-28.0912,113.3989,20210513,"npz6.30","NPZ6","Y",0,0,51,0,1,0,0,0,27,79,1,0
"npz6.2",-28.0862,113.3863,20210513,"npz6.2","NPZ6","Y",0,1,0,2,19,0,7,44,4,77,2.88709677419355,1.1323099661019
"npz6.3",-28.0914,113.3864,20210513,"npz6.3","NPZ6","Y",0,0,9,0,2,0,0,40,4,55,2.49019607843137,0.784156847055685
"npz6.32",-28.0963,113.3837,20210513,"npz6.32","NPZ6","Y",0,0,0,0,0,0,0,0,80,80,0,0
"npz6.10",-28.0798,113.3498,20210513,"npz6.10","NPZ6","Y",0,0,0,0,0,0,0,0,80,80,0,0
"npz6.35",-28.0417,113.2744,20210513,"npz6.35","NPZ6","Y",0,0,0,0,0,0,0,0,80,80,0,0
"npz6.27",-28.0688,113.2892,20210513,"npz6.27","NPZ6","Y",0,0,0,0,0,0,0,0,80,80,0,0
"npz6.4",-28.0769,113.2764,20210513,"npz6.4","NPZ6","Y",0,0,0,0,0,0,0,0,80,80,0,0
"npz9.24",-27.1612,113.2072,20210514,"npz9.24","NPZ9","Y",0,0,28,0,5,0,0,9,38,80,1.33333333333333,0.475016868796284
"npz9.48",-27.1527,113.2013,20210514,"npz9.48","NPZ9","Y",0,0,38,0,7,0,1,26,1,73,2.03174603174603,0.474112208314349
"npz9.46",-27.149,113.1916,20210514,"np79.46","NPZ9","Y",0,0,14,1,19,0,1,23,22,80,1.8125,0.906326967174966
"npz9.19",-27.1465,113.2129,20210514,"npz9.19","NPZ9","Y",0,0,21,1,1,0,0,4,49,76,1.07547169811321,0.266678761215811
"npz9.50",-27.1444,113.2016,20210514,"npz9.50","NPZ9","Y",0,0,0,0,0,0,0,0,37,37,1,0
"npz9.47",-27.1397,113.1916,20210514,"npz9.47","NPZ9","Y",0,0,18,0,16,0,16,28,0,78,2.98461538461538,0.760187223902517
"npz9.49",-27.1297,113.1883,20210514,"npz9.49","NPZ9","Y",0,0,18,1,7,0,0,11,42,79,1.14925373134328,0.359027784156703
"npz9.45",-27.1341,113.1821,20210514,"npz9.45","NPZ9","Y",0,1,7,2,4,0,0,14,52,80,1.34920634920635,0.626272386342014
"npz9.43",-27.1363,113.1779,20210514,"npz9.43","NPZ9","Y",0,0,32,0,5,0,1,41,0,79,2.41269841269841,0.496273878434877
"npz9.5",-27.1519,113.1603,20210514,"npz9.5","NPZ9","Y",0,0,29,0,1,0,1,9,39,79,1.18840579710145,0.393900641355173
"npz9.14",-27.1561,113.1421,20210514,"npz9.14","NPZ9","Y",0,0,0,0,0,0,0,0,80,80,1,0
"npz9.7",-27.1463,113.136,20210514,"npz9.7","NPZ9","Y",0,0,1,0,0,0,0,0,79,80,0.983333333333333,0.129099444873581
"npz9.16",-27.134,113.1278,20210514,"npz9.16","NPZ9","Y",0,0,0,0,0,0,0,0,80,80,1.03125,0.17536809360305
"npz9.8",-27.1354,113.1204,20210514,"npz9.8","NPZ9","Y",0,0,0,0,0,0,0,0,80,80,1,0
"npz9.26",-27.1256,113.122,20210514,"npz9.26","NPZ9","Y",0,0,0,0,0,0,0,0,80,80,0.933333333333333,0.251548874293232
"npz9.27",-27.1253,113.1335,20210514,"npz9.27","NPZ9","Y",0,0,0,0,0,0,0,0,80,80,1,0
"npz9.13",-27.1268,113.1497,20210514,"npz9.13","NPZ9","Y",0,0,0,0,0,0,0,0,79,79,1,0
"npz9.41",-27.1233,113.1699,20210514,"npz9.41","NPZ9","Y",0,0,0,0,0,0,0,0,80,80,1.12903225806452,0.337972303052903
"npz9.44",-27.1188,113.1729,20210514,"npz9.44","NPZ9","Y",0,0,42,0,4,0,0,7,25,78,1.7,0.461566331377051
"npz9.22",-27.1211,113.1862,20210514,"npz9.22","NPZ9","Y",0,0,34,0,9,0,0,4,31,78,1.09230769230769,0.291712450619019
"npz9.6",-27.1197,113.1905,20210514,"npz9.6","NPZ9","Y",0,0,3,0,13,0,1,13,41,71,1,0
"npz9.4",-27.1088,113.172,20210514,"npz9.4","NPZ9","Y",0,0,23,0,7,0,0,7,43,80,1.1304347826087,0.380133238184164
"npz9.9",-27.1023,113.1518,20210514,"npz9.9","NPZ9","Y",0,0,0,0,1,0,0,0,75,76,0.833333333333333,0.375823014001414
"npz9.42",-27.0979,113.15,20210514,"npz9.42","NPZ9","Y",0,0,5,0,7,0,0,0,68,80,1.06666666666667,0.251548874293232
"npz9.17",-27.101,113.1122,20210514,"npz9.17","NPZ9","Y",0,0,11,0,26,0,0,34,6,77,2.52238805970149,0.745861490009715
"npz9.25",-27.1036,113.1066,20210514,"npz9.25","NPZ9","Y",0,0,0,0,0,0,0,0,80,80,0.982758620689655,0.131306432859723
"npz9.1",-27.0953,113.1022,20210514,"npz9.1","NPZ9","Y",0,0,0,0,0,0,0,0,79,79,1.28571428571429,0.607176740718916
"npz9.23",-27.098,113.0833,20210514,"npz9.23","NPZ9","Y",0,0,0,0,0,0,0,0,80,80,1,0
"npz9.21",-27.1128,113.077,20210514,"npz9.21","NPZ9","Y",0,0,0,0,0,0,0,0,80,80,0.02,0.14142135623731
