"opcode","longitude","latitude","date","time","site","location","status","depth","observer","successful.count","detailed.consolidated.boulder.turfmat","detailed.consolidated.cobbles.nobiota","detailed.consolidated.cobbles.turfmat","detailed.consolidated.rock.turfmat","detailed.consolidated.rock.veneer","detailed.invertebratecomplex.complex1.","detailed.macroalgae.encrusting.red","detailed.macroalgae.erectcoursebranching.red","detailed.macroalgae.erectfinebranching.green","detailed.macroalgae.erectfinebranching.red","detailed.macroalgae.largecanopy.forming.eckloniaradiata","detailed.macroalgae.smallmixed.","detailed.octocoral.black.branching.3d.","detailed.octocoral.black.fan.2d.","detailed.sponges.erectforms.","detailed.sponges.hollowforms.","detailed.sponges.massiveforms.","detailed.unconsolidated.pebble.gravel.biogenic.","detailed.unconsolidated.pebble.gravel.gravel2.10mm.","detailed.unconsolidated.pebble.gravel.pebble10.64mm.","detailed.unconsolidated.sand.mud.coarsesand.","detailed.unconsolidated.sand.mud.finesand.","mean.relief","sd.relief"
"npz6.24",113.4414,-28.0787,20210512,09:07:00,"npz6.27","NPZ6","No-take",53.7,"Molly","Y",0,0,0,6.66666666666667,0,0,0,26.6666666666667,13.3333333333333,20,0,0,0,0,0,20,13.3333333333333,0,0,0,0,0,3,0
"npz6.14",113.4213,-28.0937,20210512,08:56:00,"npz6.14","NPZ6","No-take",42.1,"Molly","Y",0,0,0,0,0,0,0,0,0,75,25,0,0,0,0,0,0,0,0,0,0,0,2.75,0.447213595499958
"npz6.6",113.4439,-28.0837,20210512,09:04:00,"npz6.6","NPZ6","No-take",55.1,"Molly","Y",0,0,0,0,0,0,0,83.3333333333333,0,16.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"npz6.2",113.4339,-28.0612,20210512,09:26:00,"npz6.2","NPZ6","No-take",43.6,"Molly","Y",0,0,91.6666666666667,0,0,0,0,0,8.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"npz6.18",113.4438,-28.0962,20210512,08:48:00,"npz6.19","NPZ6","No-take",42.7,"Molly","Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1,0
"npz6.22",113.4512,-28.0687,20210512,09:16:00,"npz6.23","NPZ6","No-take",45,"Molly","Y",0,0,0,0,0,0,0,0,29.4117647058824,29.4117647058824,23.5294117647059,17.6470588235294,0,0,0,0,0,0,0,0,0,0,3,0
"npz6.20",113.4593,-28.0736,20210512,09:13:00,"npz6.21","NPZ6","No-take",50.4,"Molly","Y",0,0,55.5555555555556,0,0,0,0,0,0,0,0,11.1111111111111,0,0,0,0,11.1111111111111,0,0,0,22.2222222222222,0,1,0
"npz6.26",113.4563,-28.0937,20210512,08:43:00,"npz6.29","NPZ6","No-take",33.7,"Molly","Y",0,0,0,10,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,2.13333333333333,0.351865775274498
"npz6.27",113.4464,-28.0562,20210512,09:21:00,"npz6.30","NPZ6","No-take",39,"Molly","Y",0,0,0,0,0,0,0,0,0,40,60,0,0,0,0,0,0,0,0,0,0,0,3,0
"npz6.8",113.3413,-28.0688,20210512,11:45:00,"npz6.8","NPZ6","No-take",154,"Molly","Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
"npz6.15",113.3488,-28.0588,20210512,11:41:00,"npz6.15","NPZ6","No-take",145,"Molly","Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
"npz6.9",113.3814,-28.0386,20210512,11:28:00,"npz6.9","NPZ6","No-take",77.2,"Molly","Y",0,0,0,36.3636363636364,0,54.5454545454545,0,0,0,0,0,0,0,0,0,0,9.09090909090909,0,0,0,0,0,1,0
"npz6.13",113.3714,-28.0611,20210512,11:19:00,"npz6.13","NPZ6","No-take",109,"Molly","Y",0,0,0,11.1111111111111,0,66.6666666666667,0,0,0,0,0,0,11.1111111111111,0,0,0,0,0,0,0,11.1111111111111,0,2.81818181818182,0.404519917477945
"npz6.10",113.3764,-28.0787,20210512,11:07:00,"npz6.10","NPZ6","No-take",112,"Molly","Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.7692307692308,0,69.2307692307692,0,0,0
"npz6.17",113.3839,-28.0837,20210512,11:03:00,"npz6.18","NPZ6","No-take",94,"Molly","Y",0,0,0,0,0,57.1428571428571,0,0,0,0,0,0,0,7.14285714285714,7.14285714285714,7.14285714285714,21.4285714285714,0,0,0,0,0,2.57142857142857,0.646206172658864
"npz6.4",113.3988,-28.0814,20210512,10:57:00,"npz6.4","NPZ6","No-take",67.5,"Molly","Y",0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"npz6.21",113.3992,-28.0714,20210512,10:54:00,"npz6.22","NPZ6","No-take",59.3,"Molly","Y",0,0,0,0,0,56.25,0,0,0,0,0,0,12.5,0,12.5,6.25,0,0,0,0,12.5,0,2.2,0.414039335605413
"npz6.5",113.3935,-28.0636,20210512,10:50:00,"npz6.5","NPZ6","No-take",65.8,"Molly","Y",0,0,0,15.3846153846154,23.0769230769231,7.69230769230769,0,0,0,0,0,0,15.3846153846154,0,0,7.69230769230769,0,0,7.69230769230769,7.69230769230769,15.3846153846154,0,2.4,0.828078671210825
"npz6.12",113.2763,-28.0512,20210512,13:48:00,"npz6.12","NPZ6","No-take",185,"-","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
"npz6.C01",113.3706,-28.1078,20210512,14:39:00,NA,"NPZ6","Fished",138,"Molly","Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
"npz6.28",113.3663,-28.1237,20210512,14:45:00,"out6.1","NPZ6","Fished",149,"Molly","Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.3,0.674948557710553
"npz6.C02",113.385,-28.118,20210512,14:52:00,NA,"NPZ6","Fished",125,"Molly","Y",0,0,0,0,0,13.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.6666666666667,0,0
"npz6.BOSS41",113.3939,-28.1137,20210512,14:57:00,NA,"NPZ6","Fished",104,"Molly","Y",0,0,0,29.4117647058824,0,5.88235294117647,0,0,0,0,0,0,0,0,5.88235294117647,29.4117647058824,5.88235294117647,0,0,0,23.5294117647059,0,2.07692307692308,0.277350098112615
"npz6.36",113.4089,-28.1062,20210512,15:02:00,"out6.9","NPZ6","Fished",66.5,"Molly","Y",12.5,0,6.25,0,0,0,6.25,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,50,0,1.1875,0.910585891976516
"npz9.7",113.1964,-27.1162,20210515,08:37:00,"npz9.7","NPZ9","No-take",97.2,"Molly","Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1,0
"npz9.29",113.2089,-27.1313,20210515,08:27:00,"npz9.29","NPZ9","No-take",96.7,"Molly","Y",0,0,0,0,0,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.6666666666667,1,0
"npz9.12",113.2039,-27.1462,20210515,08:19:00,"npz9.12","NPZ9","No-take",92.2,"Molly","Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,1,0
"npz9.5",113.214,-27.151,20210515,08:09:00,"npz9.5","NPZ9","No-take",87.8,"Molly","Y",0,0,0,0,0,68.4210526315789,0,0,0,0,0,0,0,0,10.5263157894737,0,21.0526315789474,0,0,0,0,0,2.5,0.760885910252682
"npz9.9",113.1888,-27.1288,20210515,08:48:00,"npz9.9","NPZ9","No-take",82.1,"Molly","Y",0,6.66666666666667,6.66666666666667,0,0,26.6666666666667,0,0,0,0,0,0,0,0,6.66666666666667,0,0,0,0,0,53.3333333333333,0,1.33333333333333,0.492365963917331
"npz9.26",113.2139,-27.1437,20210515,08:14:00,"npz9.26","NPZ9","No-take",90.9,"Molly","Y",0,0,0,0,0,25,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,25,43.75,1.61538461538462,0.506369683541833
"npz9.11",113.1889,-27.1238,20210515,08:46:00,"npz9.11","NPZ9","No-take",85.8,"Molly","Y",0,0,7.14285714285714,0,0,78.5714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2857142857143,0,1.27272727272727,0.646669790682863
"npz9.19",113.1764,-27.1539,20210515,08:58:00,"npz9.19","NPZ9","No-take",87.1,"Molly","Y",0,7.14285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4285714285714,0,71.4285714285714,0,1,0
"npz9.30",113.1864,-27.1187,20210515,08:43:00,"npz9.30","NPZ9","No-take",90.3,"Molly","Y",5.55555555555556,0,0,0,0,11.1111111111111,0,0,0,0,0,0,0,0,0,0,0,0,16.6666666666667,0,66.6666666666667,0,1,0
"npz9.10",113.1565,-27.1638,20210515,10:36:00,"npz9.10","NPZ9","No-take",93.6,"Molly","Y",0,0,0,0,0,18.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.25,1,0
"npz9.22",113.1413,-27.1537,20210515,10:34:00,"npz9.22","NPZ9","No-take",102,"Molly","Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,1,0
"npz9.2",113.1465,-27.1411,20210515,10:52:00,"npz9.2","NPZ9","No-take",92.1,"Molly","Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,1,0
"npz9.14",113.1364,-27.1438,20210515,10:56:00,"npz9.14","NPZ9","No-take",101,"Molly","Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,1,0
"npz9.3",113.1239,-27.1312,20210515,11:04:00,"npz9.3","NPZ9","No-take",104,"Molly","Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,1,0
"npz9.8",113.1189,-27.1261,20210515,11:08:00,"npz9.8","NPZ9","No-take",105,"Molly","Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.9,0.316227766016838
"npz9.24",113.1067,-27.1311,20210515,11:14:00,"npz9.24","NPZ9","No-take",117,"Molly","Y",0,0,0,0,0,7.69230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.3076923076923,0.888888888888889,0.927960727138337
"npz9.21",113.1014,-27.1362,20210515,11:26:00,"npz9.21","NPZ9","No-take",122,"Molly","Y",0,0,0,0,0,6.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.3333333333333,0,0
"npz9.16",113.109,-27.1187,20210515,13:16:00,"npz9.16","NPZ9","No-take",108,"Molly","Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,1,0
"npz9.27",113.1014,-27.1164,20210515,13:21:00,"npz9.27","NPZ9","No-take",114,"Molly","Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,1,0
"npz9.13",113.1038,-27.1113,20210515,13:27:00,"npz9.13","NPZ9","No-take",109,"Molly","Y",0,0,0,0,0,0,0,0,0,0,0,0,7.69230769230769,0,0,0,0,0,0,0,92.3076923076923,0,1.1,0.316227766016838
"npz9.17",113.0913,-27.1012,20210515,13:37:00,"npz9.17","NPZ9","No-take",114,"Molly","Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09090909090909,0,0,0,0,0,90.9090909090909,0,1.22222222222222,0.440958551844098
"npz9.1",113.0863,-27.0962,20210515,13:43:00,"npz9.1","NPZ9","No-take",116,"Molly","Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,1,0
"npz9.28",113.0538,-27.1013,20210515,13:57:00,"npz9.28","NPZ9","No-take",132,"Molly","Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
"npz9.18",113.0664,-27.1236,20210515,14:08:00,"npz9.18","NPZ9","No-take",132,"Molly","Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.3,0.483045891539648
"npz9.25",113.074,-27.1462,20210515,14:17:00,"npz9.25","NPZ9","No-take",133,"Molly","Y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
"npz9.4",113.1139,-27.1163,20210515,13:11:00,"npz9.4","NPZ9","No-take",104,"Molly","Y",0,6.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.6666666666667,0,66.6666666666667,0,0.666666666666667,0.492365963917331
